TransactionID,UserID,Amount,Location,Time,Device,Merchant
TXN1009560,User89,30.2,Aswan,2025-10-24 11:53:45,Android,Jumia
TXN1002574,User39,113.97,Cairo,2025-11-11 06:27:44,iOS,eBay
TXN1006672,User30,11.84,Giza,2025-11-16 20:47:12,iOS,Noon
TXN1007443,User61,113.28,Alex,2025-10-24 19:19:36,Android,Jumia
TXN1006258,User54,497.69,Cairo,2025-10-23 12:23:21,iOS,LocalStore
TXN1005507,User12,7.64,Hurghada,2025-11-20 12:42:31,Web,AliExpress
TXN1006947,User94,73.65,Aswan,2025-11-08 13:23:36,Windows,eBay
TXN1004657,User58,273.39,Cairo,2025-11-02 23:26:57,Web,Noon
TXN1005669,User9,71.84,Hurghada,2025-10-26 08:57:27,Windows,Amazon
TXN1003452,User49,111.98,Aswan,2025-11-17 08:08:04,Windows,Jumia
TXN1004869,User36,84.0,Alex,2025-11-06 06:09:37,Android,Souq
TXN1003664,User9,35.46,Hurghada,2025-11-21 07:37:56,Windows,Noon
TXN1005645,User92,102.13,Cairo,2025-11-20 14:47:22,Web,LocalStore
TXN1001714,User15,51.39,Giza,2025-11-15 06:37:36,iOS,Amazon
TXN1007582,User53,50.69,Luxor,2025-11-05 10:12:34,Web,Souq
TXN1007983,User86,7.29,Cairo,2025-11-01 11:23:43,Windows,Amazon
TXN1001739,User82,225.53,Aswan,2025-11-12 16:43:11,iOS,Amazon
TXN1000537,User25,9.22,Giza,2025-10-29 00:37:52,Windows,Amazon
TXN1009173,User85,5.0,Hurghada,2025-11-21 20:15:44,Web,Jumia
TXN1002021,User39,79.91,Cairo,2025-11-07 10:52:27,iOS,LocalStore
TXN1005074,User90,64.71,Luxor,2025-11-22 20:06:57,iOS,Souq
TXN1002402,User92,70.85,Cairo,2025-11-17 12:24:04,Web,Amazon
TXN1001546,User97,34.51,Giza,2025-11-09 21:18:47,iOS,eBay
TXN1008357,User51,108.22,Cairo,2025-11-22 05:11:30,iOS,Noon
TXN1008859,User18,215.55,Cairo,2025-10-24 10:57:42,iOS,Jumia
TXN1006821,User20,13.97,Luxor,2025-11-06 02:14:58,Web,Noon
TXN1006210,User55,135.98,Aswan,2025-10-24 08:10:20,Windows,AliExpress
TXN1001899,User94,92.48,,2025-11-01 09:06:59,Windows,Jumia
TXN1007819,User4,193.5,Cairo,2025-10-25 14:37:49,iOS,AliExpress
TXN1006920,User63,69.73,Alex,2025-11-02 12:30:35,iOS,Noon
