TransactionID,UserID,Amount,Location,Time,Device,Merchant
TXN1005959,User7,129.91,Luxor,2025-10-06 08:21:41,Web,Noon
TXN1001602,User90,384.61,Aswan,2025-09-21 09:48:17,Windows,Souq
TXN1001783,User93,23.42,Cairo,2025-09-13 21:33:11,Android,LocalStore
TXN1008084,User21,83.91,Sharm,2025-09-25 17:51:11,iOS,Jumia
TXN1001154,User67,45.2,Aswan,2025-09-29 07:49:57,Windows,LocalStore
TXN1005064,User80,1251.86,Hurghada,2025-09-30 10:18:21,iOS,Souq
TXN1002989,User33,88.18,Aswan,2025-09-09 10:38:55,Windows,Souq
TXN1004140,User43,602.53,Luxor,2025-10-09 00:16:21,Windows,Amazon
TXN1005244,User6,35.73,Giza,2025-09-19 00:35:19,Android,Jumia
TXN1009595,User25,13.32,Alex,2025-09-13 23:29:50,Web,LocalStore
TXN1007386,User50,401.79,Sharm,2025-09-15 21:39:33,iOS,Souq
TXN1000037,User6,73.31,Hurghada,2025-09-23 22:38:44,Android,Jumia
TXN1001966,User32,100.43,Giza,2025-09-11 00:26:50,Web,AliExpress
TXN1001164,User54,169.38,Aswan,2025-10-03 14:27:01,Android,AliExpress
TXN1006394,User19,344.72,Hurghada,2025-10-07 10:49:56,Android,Noon
TXN1001793,User98,196.34,Giza,2025-09-16 23:55:41,Windows,Jumia
TXN1006215,User69,96.8,Luxor,2025-10-06 01:30:27,Web,Souq
TXN1007936,User60,666.15,Cairo,2025-09-12 08:59:46,iOS,Souq
TXN1003973,User41,303.23,Aswan,2025-09-27 12:08:39,Windows,Jumia
TXN1004944,User35,38.72,Alex,2025-09-26 04:15:51,iOS,Souq
TXN1002192,User32,216.25,Alex,2025-09-25 14:07:03,Web,eBay
TXN1002569,User44,60.71,Aswan,2025-09-14 15:33:37,Web,eBay
TXN1004455,User72,1469.47,Sharm,2025-09-24 16:47:26,Android,AliExpress
TXN1008058,User80,755.75,Hurghada,2025-09-29 16:03:25,iOS,Noon
TXN1000736,User36,78.68,Luxor,2025-09-24 14:09:23,Android,Amazon
TXN1005893,User38,57.62,Giza,2025-09-09 15:57:39,Android,Noon
TXN1003774,User14,122.71,Alex,2025-09-13 00:13:24,iOS,Souq
TXN1009063,User90,80.4,Aswan,2025-09-22 15:18:51,Windows,AliExpress
TXN1008574,User33,116.01,Aswan,2025-09-20 10:50:36,Windows,LocalStore
TXN1005690,User89,273.12,Sharm,2025-10-01 19:18:54,Windows,Noon
TXN1009512,User10,3725.43,Aswan,2025-09-24 13:07:59,iOS,eBay
TXN1001256,User88,239.67,Luxor,2025-09-12 01:51:09,iOS,Amazon
TXN1001629,User86,250.15,Aswan,2025-10-06 13:22:35,Android,Souq
TXN1001962,User70,570.6,Sharm,2025-09-30 21:01:58,Windows,Noon
TXN1007161,User52,27.3,Alex,2025-09-15 08:51:46,iOS,Jumia
TXN1003722,User33,212.18,Aswan,2025-10-01 21:27:31,Windows,AliExpress
TXN1008629,User82,75.12,Hurghada,2025-10-03 18:38:17,Windows,LocalStore
TXN1008249,User22,20.78,Cairo,2025-10-03 18:43:59,Windows,AliExpress
TXN1000068,User59,712.2,Aswan,2025-09-27 17:08:21,Android,Jumia
TXN1008852,User36,75.05,Luxor,2025-09-25 12:48:31,Android,Jumia
TXN1001127,User99,149.08,Alex,2025-09-18 13:11:50,Web,LocalStore
TXN1007403,User10,84.41,Giza,2025-09-29 01:06:36,iOS,
TXN1005440,User88,449.5,Luxor,2025-09-21 16:27:28,iOS,Amazon
TXN1006405,User3,138.06,Aswan,2025-09-13 16:44:54,Web,AliExpress
TXN1009108,User80,725.48,Hurghada,2025-09-30 05:42:57,iOS,eBay
TXN1005728,User12,345.23,Luxor,2025-09-13 12:37:49,Windows,eBay
TXN1001487,User88,122.72,Luxor,2025-09-19 13:13:38,iOS,eBay
TXN1006392,User22,30.23,Hurghada,2025-10-05 05:33:21,Windows,Noon
TXN1002302,User13,990.12,Giza,2025-09-24 19:48:19,iOS,Amazon
TXN1006907,User4,142.57,Hurghada,2025-09-17 00:27:35,Web,Noon
TXN1005637,User98,259.07,Giza,2025-10-08 19:00:00,Windows,eBay
TXN1003219,User70,354.35,Sharm,2025-09-30 17:34:13,Windows,Jumia
TXN1005399,User69,108.4,Hurghada,2025-09-10 16:36:22,Web,eBay
